precio,tipo_inmueble,alcaldia,estado,m2,recamaras,banos,estacionamientos,url,fuente,precio_por_m2
98000.0,oficina,Álvaro Obregón,Ciudad de México,268.0,,2.0,10.0,https://www.lamudi.com.mx/detalle/41032-73-8eba6dbe00d6-d190-19af02b-b28c-72f5,lamudi,365.67164179104475
73000.0,oficina,Álvaro Obregón,Ciudad de México,162.0,,,4.0,https://www.lamudi.com.mx/detalle/41032-73-c11d5b2d0f32-2976-19ce057-9f2b-7189,lamudi,450.61728395061726
49500.0,oficina,Álvaro Obregón,Ciudad de México,123.0,,1.0,2.0,https://www.lamudi.com.mx/detalle/41032-73-d8eba65cbe88-6581-19a1851-ac00-7762,lamudi,402.4390243902439
84700.0,oficina,Álvaro Obregón,Ciudad de México,275.0,,,2.0,https://www.lamudi.com.mx/detalle/41032-73-926dfdc06c96-313a-19e5a43-b71c-7c9c,lamudi,308.0
80000.0,oficina,Álvaro Obregón,Ciudad de México,250.0,,,,https://www.lamudi.com.mx/detalle/41032-73-552071dd012b-490c-197d394-8e4a-7346,lamudi,320.0
34500.0,oficina,Álvaro Obregón,Ciudad de México,120.0,,1.0,1.0,https://www.lamudi.com.mx/detalle/41032-73-311f9cc5dac8-d8c1-19bc4ca-8999-7121,lamudi,287.5
54800.0,oficina,Álvaro Obregón,Ciudad de México,94.0,,,3.0,https://www.lamudi.com.mx/detalle/41032-73-a65f0974a854-3506-19db71d-9882-76b5,lamudi,582.9787234042553
40000.0,oficina,Álvaro Obregón,Ciudad de México,60.0,,1.0,1.0,https://www.lamudi.com.mx/detalle/41032-73-6a195201609c-ffc-19d7c89-9dc2-78c4,lamudi,666.6666666666666
87000.0,oficina,Álvaro Obregón,Ciudad de México,300.0,,,,https://www.lamudi.com.mx/detalle/41032-73-414b02692e45-a7ed-55cac49a-b300-3e30,lamudi,290.0
36750.0,bodega,Azcapotzalco,Ciudad de México,210.0,,,,https://www.lamudi.com.mx/detalle/41032-73-7f06aa120ee0-af2b-194bab2-a774-7d04,lamudi,175.0
29865.0,departamento,Azcapotzalco,Ciudad de México,85.0,,,,https://www.lamudi.com.mx/detalle/41032-73-279ace2d5607-2c5a-198ecf0-aa43-75c4,lamudi,351.3529411764706
20000.0,local,Azcapotzalco,Ciudad de México,49.0,,,,https://www.lamudi.com.mx/detalle/41032-73-b7801fdbd40-a592-19e472e-a30d-7563,lamudi,408.16326530612247
78743.0,local,Azcapotzalco,Ciudad de México,213.0,,,,https://www.lamudi.com.mx/detalle/41032-73-1fa8ab45eef3-d043-19d22da-9256-7c69,lamudi,369.6854460093897
17500.0,departamento,Azcapotzalco,Ciudad de México,64.0,3.0,2.0,2.0,https://www.lamudi.com.mx/detalle/41032-73-364107e5c16e-4e6f-19eaf44-8bfe-7b46,lamudi,273.4375
35000.0,oficina,Azcapotzalco,Ciudad de México,100.0,,3.0,,https://www.lamudi.com.mx/detalle/41032-73-f4fc310b49f0-cd41-19d9b30-a86d-7c3e,lamudi,350.0
