precio,banda_precio,tipo_inmueble,demarcacion,colonia,cerca_alameda_oriente,m2,recamaras,banos,estacionamientos,tiene_estacionamiento,canal_contacto,publicado_por,url,fuentes
7800.0,≤$8k,departamento,Iztacalco,Agrícola Pantitlán,sí,,2,1.0,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-b930fdbd473a-de1a-19f3db3-9305-7440,,https://www.lamudi.com.mx/detalle/41032-73-b930fdbd473a-de1a-19f3db3-9305-7440,lamudi
8000.0,≤$8k,departamento,Iztacalco,Pantitlán,sí,60.0,2,1.0,,n-d,vía portal (nuroa) | https://www.nuroa.com.mx/adform/6900000774960942734?click_type=0&pos=2&listingId=6900000774960942734&siteStrategyKey=https%3A%2F%2Fwww.nuroa.com.mx&url=https%253A%252F%252Fwww.icasas.mx%252FaggregatorDetail%253FadId%253D019d425f-56bf-7fee-adb3-54108e952e24%2526aggregator%253Dmitula%2526utm_content%253D019d425f-56bf-7fee-adb3-54108e952e24_payment&searchType=2&page=1&seo_link_id=1406136829&section=1&t_sec=1&sectionType=1&pageViewId=195b3e0c-5c7f-418a-9613-697a25411a80&t_pvid=195b3e0c-5c7f-418a-9613-697a25411a80&userAgent=Mozilla%2F5.0+%28Macintosh%3B+Intel+Mac+OS+X+10_15_7%29+AppleWebKit%2F605.1.15+%28KHTML%2C+like+Gecko%29+Version%2F17.4+Safari%2F605.1.15&browser=1&isHuman=true&userIp=189.226.169.69&what=departamento+nezahualcoyotl&search_terms=departamento+nezahualcoyotl&origin=2&t_or=2&splitTestId=0,,https://www.nuroa.com.mx/adform/6900000774960942734?click_type=0&pos=2&listingId=6900000774960942734&siteStrategyKey=https%3A%2F%2Fwww.nuroa.com.mx&url=https%253A%252F%252Fwww.icasas.mx%252FaggregatorDetail%253FadId%253D019d425f-56bf-7fee-adb3-54108e952e24%2526aggregator%253Dmitula%2526utm_content%253D019d425f-56bf-7fee-adb3-54108e952e24_payment&searchType=2&page=1&seo_link_id=1406136829&section=1&t_sec=1&sectionType=1&pageViewId=195b3e0c-5c7f-418a-9613-697a25411a80&t_pvid=195b3e0c-5c7f-418a-9613-697a25411a80&userAgent=Mozilla%2F5.0+%28Macintosh%3B+Intel+Mac+OS+X+10_15_7%29+AppleWebKit%2F605.1.15+%28KHTML%2C+like+Gecko%29+Version%2F17.4+Safari%2F605.1.15&browser=1&isHuman=true&userIp=189.226.169.69&what=departamento+nezahualcoyotl&search_terms=departamento+nezahualcoyotl&origin=2&t_or=2&splitTestId=0,nuroa
8000.0,≤$8k,departamento,Nezahualcóyotl,El Sol,sí,60.0,2,1.0,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-54108e952e6d-5708-19d42a8-adfc-8037,,https://www.lamudi.com.mx/detalle/41032-73-54108e952e6d-5708-19d42a8-adfc-8037,lamudi
8000.0,≤$8k,departamento,Venustiano Carranza,Romero Rubio,sí,33.0,1,1.0,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-8f2c8b8b393f-3a97-19f6e49-a6f2-76e3,,https://www.lamudi.com.mx/detalle/41032-73-8f2c8b8b393f-3a97-19f6e49-a6f2-76e3,lamudi
8500.0,$8–10k,departamento,Iztacalco,Agrícola Oriental,sí,52.0,2,1.0,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-bfb0edbfcae8-5012-19f2428-9807-7c50,,https://www.lamudi.com.mx/detalle/41032-73-bfb0edbfcae8-5012-19f2428-9807-7c50,lamudi
8500.0,$8–10k,departamento,Venustiano Carranza,Aviación Civil,sí,50.0,2,,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5676021404-renta-departamentos-ampliacion-aviacion-civil-t-df0204-0109-_JM,,https://departamento.mercadolibre.com.mx/MLM-5676021404-renta-departamentos-ampliacion-aviacion-civil-t-df0204-0109-_JM,mercadolibre
8600.0,$8–10k,departamento,Nezahualcóyotl,Bosques de Aragón,sí,60.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5769447794-renta-de-departamento-en-bosques-de-aragon-nezahualcoyotl-edo-de-mex-_JM,,https://departamento.mercadolibre.com.mx/MLM-5769447794-renta-de-departamento-en-bosques-de-aragon-nezahualcoyotl-edo-de-mex-_JM,mercadolibre
8850.0,$8–10k,departamento,Iztacalco,Agrícola Oriental,sí,45.0,1,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5716329956-departamento-en-renta-col-agricola-oriental-alcaldia-iztacalco-cdmx-97579-_JM,,https://departamento.mercadolibre.com.mx/MLM-5716329956-departamento-en-renta-col-agricola-oriental-alcaldia-iztacalco-cdmx-97579-_JM,mercadolibre
9000.0,$8–10k,departamento,Nezahualcóyotl,Benito Juárez,sí,70.0,2,1.0,1,sí,vía portal (nuroa) | https://www.nuroa.com.mx/adform/5560000784292279491?click_type=0&pos=3&listingId=5560000784292279491&siteStrategyKey=https%3A%2F%2Fwww.nuroa.com.mx&url=https%253A%252F%252Fwww.icasas.mx%252FaggregatorDetail%253FadId%253D019f68d9-7192-7b97-ad3b-16d8e779fbea%2526aggregator%253Dmitula%2526utm_content%253D019f68d9-7192-7b97-ad3b-16d8e779fbea_payment&searchType=2&page=1&seo_link_id=1406136829&section=1&t_sec=1&sectionType=1&pageViewId=195b3e0c-5c7f-418a-9613-697a25411a80&t_pvid=195b3e0c-5c7f-418a-9613-697a25411a80&userAgent=Mozilla%2F5.0+%28Macintosh%3B+Intel+Mac+OS+X+10_15_7%29+AppleWebKit%2F605.1.15+%28KHTML%2C+like+Gecko%29+Version%2F17.4+Safari%2F605.1.15&browser=1&isHuman=true&userIp=189.226.169.69&what=departamento+nezahualcoyotl&search_terms=departamento+nezahualcoyotl&origin=2&t_or=2&splitTestId=0,,https://www.nuroa.com.mx/adform/5560000784292279491?click_type=0&pos=3&listingId=5560000784292279491&siteStrategyKey=https%3A%2F%2Fwww.nuroa.com.mx&url=https%253A%252F%252Fwww.icasas.mx%252FaggregatorDetail%253FadId%253D019f68d9-7192-7b97-ad3b-16d8e779fbea%2526aggregator%253Dmitula%2526utm_content%253D019f68d9-7192-7b97-ad3b-16d8e779fbea_payment&searchType=2&page=1&seo_link_id=1406136829&section=1&t_sec=1&sectionType=1&pageViewId=195b3e0c-5c7f-418a-9613-697a25411a80&t_pvid=195b3e0c-5c7f-418a-9613-697a25411a80&userAgent=Mozilla%2F5.0+%28Macintosh%3B+Intel+Mac+OS+X+10_15_7%29+AppleWebKit%2F605.1.15+%28KHTML%2C+like+Gecko%29+Version%2F17.4+Safari%2F605.1.15&browser=1&isHuman=true&userIp=189.226.169.69&what=departamento+nezahualcoyotl&search_terms=departamento+nezahualcoyotl&origin=2&t_or=2&splitTestId=0,lamudi+mercadolibre+nuroa
9000.0,$8–10k,local,Nezahualcóyotl,Evolución,sí,39.0,,1.0,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-86ae3bdc7d9d-9c45-b7e2eead-b35e-4b06,,https://www.lamudi.com.mx/detalle/41032-73-86ae3bdc7d9d-9c45-b7e2eead-b35e-4b06,lamudi
